,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
383,Pablo Martinez,fr FRA,DF,Nîmes,31,1989,7,6,540,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
384,Gelson Martins,pt POR,"MF,FW",Monaco,25,1995,23,20,"1,551",17.2,3,2,3,0,0,3,0,0.17,0.12,0.29,0.17,0.29,2.7,2.7,2.8,5.5,0.16,0.16,0.32,0.16,0.32,Matches,2020-2021
385,Sylvain Marveaux,fr FRA,"MF,FW",Lorient,34,1986,9,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.37,0.01,0.38,0.37,0.38,Matches,2020-2021
386,Pape Matar Sarr,sn SEN,MF,Metz,17,2002,22,18,"1,594",17.7,3,0,3,0,0,5,0,0.17,0.00,0.17,0.17,0.17,1.0,1.0,0.7,1.7,0.06,0.04,0.10,0.06,0.10,Matches,2020-2021
387,Eliot Matazo,be BEL,MF,Monaco,18,2002,10,3,314,3.5,1,1,1,0,0,0,1,0.29,0.29,0.57,0.29,0.57,1.3,1.3,0.5,1.8,0.37,0.14,0.51,0.37,0.51,Matches,2020-2021
388,Chrislain Matsima,fr FRA,DF,Monaco,18,2002,9,3,352,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.04,0.04,0.08,0.04,0.08,Matches,2020-2021
390,Tony Mauricio,fr FRA,MF,Lens,26,1994,26,2,502,5.6,0,4,0,0,0,3,0,0.00,0.72,0.72,0.00,0.72,0.7,0.7,1.4,2.0,0.12,0.24,0.36,0.12,0.36,Matches,2020-2021
391,Stephy Mavididi,eng ENG,"FW,MF",Montpellier,22,1998,35,23,"2,030",22.6,9,0,9,0,0,3,0,0.40,0.00,0.40,0.40,0.40,4.9,4.9,1.2,6.1,0.22,0.05,0.27,0.22,0.27,Matches,2020-2021
392,Youssef Maziz,fr FRA,"MF,FW",Metz,22,1998,11,2,257,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.9,0.14,0.16,0.30,0.14,0.30,Matches,2020-2021
393,Kylian Mbappé,fr FRA,FW,Paris S-G,21,1998,31,27,"2,380",26.4,27,7,21,6,6,5,0,1.02,0.26,1.29,0.79,1.06,24.6,20.1,4.6,24.7,0.93,0.17,1.11,0.76,0.93,Matches,2020-2021
