,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
113,Bruno Cheyrou,fr FRA,MF,Lille,23,1978,27,22,"1,973",21.9,11,3,9,2,2,1,0,0.50,0.14,0.64,0.41,0.55,Matches,2001-2002
114,Christian,br BRA,FW,Bordeaux,26,1975,18,17,"1,497",16.6,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,2001-2002
115,Abdoulaye Cissé,bf BFA,FW,Montpellier,17,1983,19,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,Matches,2001-2002
116,Aliou Cissé,sn SEN,"DF,MF",Montpellier,25,1976,17,17,"1,431",15.9,1,0,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches,2001-2002
117,Djibril Cissé,fr FRA,FW,Auxerre,19,1981,29,29,"2,553",28.4,22,4,20,2,2,3,0,0.78,0.14,0.92,0.71,0.85,Matches,2001-2002
118,Édouard Cissé,fr FRA,MF,Paris S-G,23,1978,25,14,"1,396",15.5,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,Matches,2001-2002
119,Nicolas Cloarec,fr FRA,MF,Lorient,24,1977,4,1,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
120,Fabrice Colleau,fr FRA,MF,Guingamp,24,1977,14,6,573,6.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
121,Patrick Collot,fr FRA,"FW,MF",Lille,34,1967,5,1,106,1.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
122,Ferdinand Coly,sn SEN,DF,Lens,27,1973,26,26,"2,219",24.7,1,1,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,Matches,2001-2002
123,Fabien Cool,fr FRA,GK,Auxerre,28,1972,34,34,"3,023",33.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
124,Charles-Édouard Coridon,mq MTQ,MF,Lens,28,1973,27,24,"2,047",22.7,3,1,3,0,0,6,0,0.13,0.04,0.18,0.13,0.18,Matches,2001-2002
125,Eduardo Costa,br BRA,MF,Bordeaux,18,1982,29,28,"2,523",28.0,1,1,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,Matches,2001-2002
126,Adama Coulibaly,ml MLI,"DF,MF",Lens,20,1980,22,18,"1,669",18.5,2,1,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches,2001-2002
127,Grégory Coupet,fr FRA,GK,Lyon,28,1972,34,34,"3,060",34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
128,Stéphane Crucet,fr FRA,MF,Sochaux,30,1970,26,13,"1,212",13.5,5,0,5,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,2001-2002
130,Éric Cubilier,fr FRA,DF,Monaco,22,1979,22,22,"1,883",20.9,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches,2001-2002
131,Pascal Cygan,fr FRA,DF,Lille,27,1974,29,29,"2,605",28.9,1,0,1,0,0,4,1,0.03,0.00,0.03,0.03,0.03,Matches,2001-2002
