club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AJ Auxerre,Cyrille Magnier,32,Centre-Back,Amiens SC,?,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Azzedine Hatim,19,defence,Stade Auxerre,?,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Pedro Reyes,29,Centre-Back,U. de Chile,?,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Pedro Kamatà,20,Left Winger,FC Groningen,?,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Piotr Wlodarczyk,25,Centre-Forward,Widzew Lodz,?,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Trésor Luntala,20,Defensive Midfield,Birmingham,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Jean-Louis Montero,31,Right-Back,CS Sedan,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Christophe Le Roux,33,Right Midfield,Stade Rennais,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Jawad El Hajri,22,Centre-Forward,Olympique Alès,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Ronan Le Crom,27,Goalkeeper,AJ Auxerre,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Régis Dorn,22,Centre-Forward,SC Freiburg,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Milovan Sikimic,21,Centre-Back,OFK Mladenovac,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Gaël Danic,20,Left Winger,Stade Rennais,loan transfer,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Fabrice Colleau,25,Defensive Midfield,Nîmes Olympique,?,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Wagneau Eloi,28,Centre-Forward,Monaco,?,in,Summer,NA,Ligue 1,2002,2002/2003
