,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
118,Jérémy Clément,fr FRA,MF,Paris S-G,22,1984,38,38,"3,342",37.1,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,2007-2008
119,François Clerc,fr FRA,DF,Lyon,24,1983,27,20,"1,935",21.5,1,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,Matches,2007-2008
120,Renaud Cohade,fr FRA,MF,Strasbourg,22,1984,26,26,"2,133",23.7,3,2,2,1,1,5,0,0.13,0.08,0.21,0.08,0.17,Matches,2007-2008
121,Lilian Compan,fr FRA,FW,Caen,30,1977,28,15,"1,499",16.7,5,0,5,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,2007-2008
122,Daniel Congré,fr FRA,DF,Toulouse,22,1985,9,8,735,8.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
123,Kévin Constant,gn GUI,"DF,MF",Toulouse,20,1987,2,0,21,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
124,Manuel Corrales,pe PER,DF,Metz,24,1982,4,3,276,3.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
125,Benoît Costil,fr FRA,GK,Caen,20,1987,5,5,420,4.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
126,Adama Coulibaly,ml MLI,"DF,MF",Lens,26,1980,30,29,"2,656",29.5,2,0,2,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,2007-2008
127,Grégory Coupet,fr FRA,GK,Lyon,34,1972,19,19,"1,710",19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
128,Daniel Cousin,ga GAB,FW,Lens,30,1977,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
130,Mathieu Coutadeur,fr FRA,MF,Le Mans,21,1986,33,29,"2,489",27.7,1,1,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,Matches,2007-2008
131,Cris,br BRA,DF,Lyon,30,1977,13,13,"1,143",12.7,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,2007-2008
132,Marc Crosas,es ESP,MF,Lyon,19,1988,8,3,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
133,Éric Cubilier,fr FRA,DF,Metz,28,1979,22,22,"1,916",21.3,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
134,Leandro Cufré,ar ARG,DF,Monaco,29,1978,25,22,"2,073",23.0,1,1,0,1,1,5,0,0.04,0.04,0.09,0.00,0.04,Matches,2007-2008
135,Gaston Curbelo,fr FRA,FW,Nancy,31,1976,32,8,"1,094",12.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
136,Mouhamadou Dabo,fr FRA,DF,Saint-Étienne,20,1986,32,31,"2,737",30.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
137,Omar Daf,sn SEN,DF,Sochaux,30,1977,8,6,513,5.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
138,Moumouni Dagano,bf BFA,FW,Sochaux,26,1981,21,11,"1,026",11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
139,Stéphane Dalmat,fr FRA,MF,Sochaux,28,1979,35,32,"2,850",31.7,3,6,2,1,2,4,1,0.09,0.19,0.28,0.06,0.25,Matches,2007-2008
140,Romain Danzé,fr FRA,"DF,MF",Rennes,21,1986,9,7,685,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
141,Mathieu Debuchy,fr FRA,DF,Lille,22,1985,16,11,893,9.9,0,1,0,0,0,1,1,0.00,0.10,0.10,0.00,0.10,Matches,2007-2008
142,César Delgado,ar ARG,"FW,MF",Lyon,25,1981,7,2,223,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
143,Luís Manuel Ferreira Delgado,ao ANG,DF,Metz,27,1979,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
144,Pascal Delhommeau,fr FRA,DF,Metz,28,1978,25,20,"1,875",20.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
145,Bira Dembélé,fr FRA,DF,Rennes,19,1988,7,3,361,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
146,Yohan Demont,fr FRA,"DF,MF",Lens,29,1978,31,27,"2,394",26.6,1,3,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches,2007-2008
147,Geoffrey Dernis,fr FRA,"FW,MF",Saint-Étienne,26,1980,29,23,"1,891",21.0,7,3,7,0,0,6,1,0.33,0.14,0.48,0.33,0.48,Matches,2007-2008
148,Anthony Deroin,fr FRA,MF,Caen,28,1979,29,24,"2,177",24.2,3,4,2,1,1,3,0,0.12,0.17,0.29,0.08,0.25,Matches,2007-2008
149,Issiar Dia,sn SEN,"FW,MF",Nancy,20,1987,31,25,"2,127",23.6,1,3,1,0,0,2,0,0.04,0.13,0.17,0.04,0.17,Matches,2007-2008
150,Drissa Diakité,ml MLI,"DF,MF",Nice,22,1985,22,11,"1,062",11.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
151,Amara Diané,ci CIV,FW,Paris S-G,24,1982,38,25,"2,511",27.9,11,1,11,0,0,3,0,0.39,0.04,0.43,0.39,0.43,Matches,2007-2008
152,Mounir Diane,ma MAR,MF,Lens,25,1982,3,2,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
153,Alou Diarra,fr FRA,MF,Bordeaux,26,1981,36,36,"3,168",35.2,4,3,4,0,0,7,0,0.11,0.09,0.20,0.11,0.20,Matches,2007-2008
154,Fousseni Diawara,ml MLI,DF,Saint-Étienne,26,1980,4,1,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
156,Souleymane Diawara,sn SEN,DF,Bordeaux,28,1978,28,28,"2,520",28.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
157,Étienne Didot,fr FRA,MF,Rennes,24,1983,24,15,"1,486",16.5,2,1,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,2007-2008
158,Nicolas Dieuze,fr FRA,MF,Toulouse,28,1979,33,33,"2,876",32.0,4,0,4,0,0,6,2,0.13,0.00,0.13,0.13,0.13,Matches,2007-2008
159,Didier Digard,fr FRA,MF,Paris S-G,21,1986,16,13,"1,056",11.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
160,Aruna Dindane,ci CIV,FW,Lens,26,1980,28,24,"2,144",23.8,8,2,8,0,1,4,1,0.34,0.08,0.42,0.34,0.42,Matches,2007-2008
