,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
515,Jonathan Walters,ie IRL,"MF,FW",Burnley,33,1983,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.29,0.00,0.29,0.29,0.29,Matches,2017-2018
516,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7,7,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches,2017-2018
517,Victor Wanyama,ke KEN,MF,Tottenham,26,1991,18,8,846,9.4,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.1,0.5,0.04,0.01,0.06,0.04,0.06,Matches,2017-2018
518,Joel Ward,eng ENG,DF,Crystal Palace,27,1989,19,19,"1,613",17.9,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.3,1.5,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
520,Stephen Ward,ie IRL,DF,Burnley,31,1985,28,28,"2,460",27.3,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,0.4,0.4,1.9,2.3,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
521,James Ward-Prowse,eng ENG,"FW,MF",Southampton,22,1994,30,20,"1,716",19.1,3,3,3,0,0,3,0,0.16,0.16,0.31,0.16,0.31,2.1,2.1,3.4,5.5,0.11,0.18,0.29,0.11,0.29,Matches,2017-2018
522,Ben Watson,eng ENG,MF,Watford,32,1985,8,6,456,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches,2017-2018
523,Danny Welbeck,eng ENG,"FW,MF",Arsenal,26,1990,28,12,"1,194",13.3,5,2,5,0,0,1,0,0.38,0.15,0.53,0.38,0.53,5.2,5.2,1.4,6.5,0.39,0.10,0.49,0.39,0.49,Matches,2017-2018
524,Nahki Wells,bm BER,"FW,MF",Burnley,27,1990,9,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.79,0.00,0.79,0.79,0.79,Matches,2017-2018
525,Ashley Westwood,eng ENG,MF,Burnley,27,1990,19,12,"1,111",12.3,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.6,1.5,0.07,0.05,0.12,0.07,0.12,Matches,2017-2018
526,Dean Whitehead,eng ENG,MF,Huddersfield,35,1982,4,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
527,Georginio Wijnaldum,nl NED,MF,Liverpool,26,1990,33,27,"2,387",26.5,1,2,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11,2.5,2.5,1.5,4.0,0.10,0.06,0.15,0.10,0.15,Matches,2017-2018
528,Ashley Williams,wls WAL,DF,Everton,32,1984,24,20,"1,834",20.4,1,0,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.0,0.8,0.04,0.00,0.04,0.04,0.04,Matches,2017-2018
529,Danny Williams,us USA,MF,Huddersfield,28,1989,20,11,"1,124",12.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018
530,Willian,br BRA,"FW,MF",Chelsea,28,1988,36,20,"1,890",21.0,6,7,5,1,1,1,0,0.29,0.33,0.62,0.24,0.57,5.2,4.5,6.0,10.4,0.25,0.28,0.53,0.21,0.50,Matches,2017-2018
531,Joe Willock,eng ENG,"MF,FW",Arsenal,17,1999,2,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.35,0.00,0.35,0.35,0.35,Matches,2017-2018
532,Jack Wilshere,eng ENG,MF,Arsenal,25,1992,20,12,"1,193",13.3,1,3,1,0,0,6,0,0.08,0.23,0.30,0.08,0.30,1.1,1.1,2.6,3.7,0.08,0.20,0.28,0.08,0.28,Matches,2017-2018
533,Callum Wilson,eng ENG,FW,Bournemouth,25,1992,28,23,"1,981",22.0,8,2,8,0,0,0,0,0.36,0.09,0.45,0.36,0.45,8.5,8.5,2.0,10.5,0.39,0.09,0.48,0.39,0.48,Matches,2017-2018
534,Kevin Wimmer,at AUT,DF,Stoke City,24,1992,17,14,"1,323",14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matches,2017-2018
535,Harry Winks,eng ENG,MF,Tottenham,21,1996,16,9,774,8.6,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.7,0.8,0.01,0.08,0.10,0.01,0.10,Matches,2017-2018
536,Chris Wood,nz NZL,FW,Burnley,25,1991,24,20,"1,624",18.0,10,1,10,0,0,1,0,0.55,0.06,0.61,0.55,0.61,8.1,8.1,1.0,9.1,0.45,0.06,0.51,0.45,0.51,Matches,2017-2018
537,Ben Woodburn,wls WAL,MF,Liverpool,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
538,Granit Xhaka,ch SUI,MF,Arsenal,24,1992,38,37,"3,260",36.2,1,7,1,0,0,10,0,0.03,0.19,0.22,0.03,0.22,2.2,2.2,4.0,6.2,0.06,0.11,0.17,0.06,0.17,Matches,2017-2018
539,Claudio Yacob,ar ARG,MF,West Brom,30,1987,16,9,903,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matches,2017-2018
540,DeAndre Yedlin,us USA,DF,Newcastle Utd,24,1993,34,31,"2,845",31.6,0,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.9,2.2,0.01,0.06,0.07,0.01,0.07,Matches,2017-2018
541,Maya Yoshida,jp JPN,DF,Southampton,28,1988,24,23,"2,051",22.8,2,0,2,0,0,3,2,0.09,0.00,0.09,0.09,0.09,2.3,2.3,0.3,2.7,0.10,0.01,0.12,0.10,0.12,Matches,2017-2018
542,Ashley Young,eng ENG,DF,Manchester Utd,32,1985,30,28,"2,442",27.1,2,4,2,0,0,7,0,0.07,0.15,0.22,0.07,0.22,0.7,0.7,3.8,4.5,0.03,0.14,0.17,0.03,0.17,Matches,2017-2018
