,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
92,Philipp Degen,ch SUI,"DF,FW",Dortmund,24,1983,10,10,847,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
93,Ashkan Dejagah,ir IRN,"FW,MF",Wolfsburg,21,1986,31,19,"1,883",20.9,8,2,8,0,0,5,0,0.38,0.10,0.48,0.38,0.48,Matches,2007-2008
94,Matthieu Delpierre,fr FRA,DF,Stuttgart,26,1981,22,22,"1,958",21.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
95,Guy Demel,ci CIV,"DF,MF",Hamburger SV,26,1981,26,24,"2,121",23.6,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,2007-2008
96,Martín Demichelis,ar ARG,"DF,MF",Bayern Munich,26,1980,28,28,"2,514",27.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,2007-2008
97,Rafael van der Vaart,nl NED,MF,Hamburger SV,24,1983,29,28,"2,522",28.0,12,8,9,3,3,6,0,0.43,0.29,0.71,0.32,0.61,Matches,2007-2008
98,Florian Dick,de GER,DF,Karlsruher,22,1984,3,1,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
99,Diego,br BRA,MF,Werder Bremen,22,1985,30,30,"2,551",28.3,13,11,9,4,5,4,1,0.46,0.39,0.85,0.32,0.71,Matches,2007-2008
100,Valeri Domovchiyski,bg BUL,FW,Hertha BSC,20,1986,4,0,57,0.6,1,0,1,0,0,0,0,1.58,0.00,1.58,1.58,1.58,Matches,2007-2008
101,Régis Dorn,fr FRA,FW,Hansa Rostock,27,1979,15,2,459,5.1,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,2007-2008
102,Jaroslav Drobný,cz CZE,GK,Hertha BSC,27,1979,34,34,"3,060",34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
104,Pavel Drsek,cz CZE,DF,Bochum,30,1976,12,2,252,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
105,Sascha Dum,de GER,"DF,MF",Leverkusen,21,1986,17,1,386,4.3,0,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,2007-2008
106,Edin Džeko,ba BIH,FW,Wolfsburg,21,1986,28,17,"1,811",20.1,8,5,8,0,0,3,0,0.40,0.25,0.65,0.40,0.65,Matches,2007-2008
107,Patrick Ebert,de GER,"FW,MF",Hertha BSC,20,1987,27,25,"2,072",23.0,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,Matches,2007-2008
108,Chinedu Ede,de GER,"FW,MF",Hertha BSC,20,1987,4,1,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
109,Christian Eggert,de GER,MF,Dortmund,21,1986,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
110,Mario Eggimann,ch SUI,DF,Karlsruher,26,1981,33,33,"2,970",33.0,5,0,5,0,0,6,0,0.15,0.00,0.15,0.15,0.15,Matches,2007-2008
111,Christian Eichner,de GER,DF,Karlsruher,24,1982,33,33,"2,935",32.6,2,0,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
112,Christian Eigler,de GER,FW,Arminia,23,1984,29,22,"1,989",22.1,6,2,6,0,0,4,0,0.27,0.09,0.36,0.27,0.36,Matches,2007-2008
113,Marco Engelhardt,de GER,"DF,MF",Nürnberg,26,1980,22,16,"1,595",17.7,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
114,Robert Enke,de GER,GK,Hannover 96,29,1977,34,34,"3,060",34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
115,Joël Epalle,cm CMR,"FW,MF",Bochum,29,1978,26,20,"1,795",19.9,1,5,1,0,0,2,0,0.05,0.25,0.30,0.05,0.30,Matches,2007-2008
116,Fabian Ernst,de GER,MF,Schalke 04,28,1979,33,32,"2,930",32.6,1,3,1,0,0,5,0,0.03,0.09,0.12,0.03,0.12,Matches,2007-2008
117,Ewerthon,br BRA,FW,Stuttgart,26,1981,11,3,381,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,2007-2008
118,Frank Fahrenhorst,de GER,DF,Hannover 96,29,1977,23,20,"1,863",20.7,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,2007-2008
119,Alexander Farnerud,se SWE,MF,Stuttgart,23,1984,11,3,408,4.5,0,1,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,2007-2008
120,Malik Fathi,de GER,DF,Hertha BSC,23,1983,22,22,"1,935",21.5,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,2007-2008
121,Ricardo Faty,sn SEN,MF,Leverkusen,20,1986,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
122,Giovanni Federico,de GER,MF,Dortmund,26,1980,30,25,"1,974",21.9,4,6,4,0,0,2,0,0.18,0.27,0.46,0.18,0.46,Matches,2007-2008
123,Martin Fenin,cz CZE,FW,Eint Frankfurt,20,1987,17,16,"1,369",15.2,6,2,6,0,0,4,0,0.39,0.13,0.53,0.39,0.53,Matches,2007-2008
124,Benedikt Fernandez,de GER,GK,Leverkusen,22,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
125,Rowen Fernández,za RSA,GK,Arminia,29,1978,15,14,"1,236",13.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
126,Iulian Filipescu,ro ROU,DF,MSV Duisburg,33,1974,20,18,"1,439",16.0,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
127,Mario Fillinger,de GER,"DF,MF",Hamburger SV,22,1984,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
128,Michael Fink,de GER,MF,Eint Frankfurt,25,1982,32,31,"2,737",30.4,3,3,3,0,0,3,0,0.10,0.10,0.20,0.10,0.20,Matches,2007-2008
130,Manuel Fischer,de GER,FW,Stuttgart,17,1989,2,0,30,0.3,1,0,1,0,0,0,0,3.00,0.00,3.00,3.00,3.00,Matches,2007-2008
131,Nils Fischer,de GER,"DF,MF",Arminia,20,1987,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
132,Maik Franz,de GER,DF,Karlsruher,25,1981,29,29,"2,594",28.8,2,0,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches,2007-2008
133,Alexander Frei,ch SUI,FW,Dortmund,28,1979,13,9,944,10.5,6,1,6,0,1,2,0,0.57,0.10,0.67,0.57,0.67,Matches,2007-2008
134,Paul Freier,de GER,MF,Leverkusen,28,1979,19,7,801,8.9,2,4,0,2,2,2,0,0.22,0.45,0.67,0.00,0.45,Matches,2007-2008
135,Sebastian Freis,de GER,"FW,MF",Karlsruher,22,1985,31,23,"2,150",23.9,8,1,8,0,0,1,0,0.33,0.04,0.38,0.33,0.38,Matches,2007-2008
136,Arne Friedrich,de GER,DF,Hertha BSC,28,1979,30,30,"2,624",29.2,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,2007-2008
137,Manuel Friedrich,de GER,DF,Leverkusen,27,1979,32,32,"2,848",31.6,4,0,4,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,2007-2008
138,Torsten Frings,de GER,MF,Werder Bremen,30,1976,11,11,941,10.5,1,2,1,0,0,6,0,0.10,0.19,0.29,0.10,0.29,Matches,2007-2008
139,Clemens Fritz,de GER,"DF,MF",Werder Bremen,26,1980,23,18,"1,779",19.8,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,2007-2008
140,Danny Fuchs,de GER,"FW,MF",Bochum,31,1976,17,11,943,10.5,1,1,1,0,0,4,0,0.10,0.10,0.19,0.10,0.19,Matches,2007-2008
141,Petr Gabriel,cz CZE,DF,Arminia,34,1973,12,10,864,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
142,Tomáš Galásek,cz CZE,MF,Nürnberg,34,1973,31,30,"2,668",29.6,2,0,2,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches,2007-2008
143,Aarón Galindo,mx MEX,DF,Eint Frankfurt,25,1982,22,21,"1,932",21.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
144,Theofanis Gekas,gr GRE,FW,Leverkusen,27,1980,29,20,"1,772",19.7,11,2,10,1,1,1,0,0.56,0.10,0.66,0.51,0.61,Matches,2007-2008
145,Christian Gentner,de GER,MF,Wolfsburg,21,1985,31,26,"2,250",25.0,3,4,3,0,0,2,0,0.12,0.16,0.28,0.12,0.28,Matches,2007-2008
146,Blagoy Georgiev,bg BUL,MF,MSV Duisburg,25,1981,31,27,"2,407",26.7,2,4,2,0,0,5,1,0.07,0.15,0.22,0.07,0.22,Matches,2007-2008
147,Gilberto,br BRA,"DF,MF",Hertha BSC,31,1976,15,14,"1,240",13.8,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,2007-2008
148,Gláuber,br BRA,DF,Nürnberg,23,1983,19,15,"1,347",15.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
149,Gledson,br BRA,DF,Hansa Rostock,27,1979,10,10,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
150,Mario Gómez,de GER,FW,Stuttgart,22,1985,25,23,"1,959",21.8,19,3,18,1,1,1,0,0.87,0.14,1.01,0.83,0.96,Matches,2007-2008
151,Aílton Gonçalves,br BRA,FW,MSV Duisburg,34,1973,8,4,436,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,2007-2008
152,Daniel Gordon,jm JAM,"DF,MF",Dortmund,22,1985,3,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
153,Andreas Görlitz,de GER,"DF,MF",Karlsruher,25,1982,31,31,"2,712",30.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
154,Grafite,br BRA,FW,Wolfsburg,28,1979,24,22,"1,865",20.7,11,4,9,2,2,9,1,0.53,0.19,0.72,0.43,0.63,Matches,2007-2008
156,Tobias Grahn,se SWE,"FW,MF",Hertha BSC,27,1980,13,6,618,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
157,Vratislav Greško,sk SVK,DF,Leverkusen,30,1977,21,15,"1,453",16.1,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,2007-2008
