,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
133,Ciro De Cesare,it ITA,FW,Salernitana,26,1971,2,2,113,1.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
134,Ivone De Franceschi,it ITA,MF,Venezia,24,1974,17,9,772,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
135,Tiziano De Patre,it ITA,MF,Cagliari,29,1968,26,23,"2,078",23.1,5,1,5,0,0,8,1,0.22,0.04,0.26,0.22,0.26,Matches,1998-1999
136,Gaetano De Rosa,it ITA,DF,Bari,25,1973,30,29,"2,388",26.5,1,1,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,Matches,1998-1999
137,Morgan De Sanctis,it ITA,GK,Juventus,21,1977,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
138,Daniele De Vezze,it ITA,MF,Roma,18,1980,2,0,8,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
139,Tommaso Dei,,,Empoli,21,1976,1,0,11,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
140,Alessandro Del Grosso,it ITA,DF,Salernitana,25,1972,31,31,"2,745",30.5,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,1998-1999
141,Simone Del Nero,it ITA,"DF,FW",Empoli,16,1981,1,0,26,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
142,Alessandro Del Piero,it ITA,"FW,MF",Juventus,23,1974,8,8,665,7.4,2,3,1,1,1,0,0,0.27,0.41,0.68,0.14,0.54,Matches,1998-1999
143,Daniele Delli Carri,it ITA,DF,Piacenza,26,1971,20,16,"1,503",16.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
144,Marco Delvecchio,it ITA,FW,Roma,25,1973,31,30,"2,622",29.1,18,2,18,0,0,4,0,0.62,0.07,0.69,0.62,0.69,Matches,1998-1999
145,Henry van der Vegt,nl NED,MF,Udinese,26,1972,7,2,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
146,Didier Deschamps,fr FRA,MF,Juventus,29,1968,29,26,"2,302",25.6,0,4,0,0,0,8,0,0.00,0.16,0.16,0.00,0.16,Matches,1998-1999
147,Luigi Di Biagio,it ITA,MF,Roma,27,1971,27,24,"2,146",23.8,4,3,4,0,1,11,2,0.17,0.13,0.29,0.17,0.29,Matches,1998-1999
148,Domenico Di Carlo,it ITA,MF,Vicenza,34,1964,27,18,"1,623",18.0,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,1998-1999
149,Eusebio Di Francesco,it ITA,MF,Roma,28,1969,33,32,"2,824",31.4,8,2,8,0,0,8,0,0.25,0.06,0.32,0.25,0.32,Matches,1998-1999
150,Angelo Di Livio,it ITA,"DF,MF",Juventus,32,1966,33,28,"2,488",27.6,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,1998-1999
151,David Di Michele,it ITA,FW,Salernitana,22,1976,26,11,"1,093",12.1,3,3,3,0,0,5,0,0.25,0.25,0.49,0.25,0.49,Matches,1998-1999
152,Arturo Di Napoli,it ITA,FW,Empoli,24,1974,25,18,"1,719",19.1,11,2,7,4,4,2,0,0.58,0.10,0.68,0.37,0.47,Matches,1998-1999
153,Marco Di Vaio,it ITA,FW,Salernitana,22,1976,31,29,"2,558",28.4,13,6,12,1,3,7,0,0.46,0.21,0.67,0.42,0.63,Matches,1998-1999
154,Giacomo Dicara,it ITA,DF,Vicenza,28,1970,31,29,"2,679",29.8,1,1,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches,1998-1999
156,Luis Diego López,uy URU,DF,Cagliari,23,1974,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
157,Nicola Diliso,it ITA,DF,Vicenza,23,1974,17,16,"1,374",15.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
158,Dimas,pt POR,DF,Juventus,29,1969,1,0,34,0.4,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
159,Davide Dionigi,it ITA,MF,Piacenza,24,1974,23,5,717,8.0,4,1,2,2,3,2,2,0.50,0.13,0.63,0.25,0.38,Matches,1998-1999
160,Youri Djorkaeff,fr FRA,"FW,MF",Inter,30,1968,25,17,"1,569",17.4,8,5,3,5,6,2,0,0.46,0.29,0.75,0.17,0.46,Matches,1998-1999
161,Roberto Donadoni,it ITA,MF,Milan,34,1963,9,0,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
162,Doriva,br BRA,MF,Sampdoria,26,1972,17,17,"1,519",16.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,1998-1999
163,Edmundo,br BRA,"FW,MF",Fiorentina,27,1971,28,28,"2,398",26.6,8,6,6,2,2,5,1,0.30,0.23,0.53,0.23,0.45,Matches,1998-1999
164,Zé Elias,br BRA,MF,Inter,21,1976,13,5,584,6.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
