,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
93,José Cañas,es ESP,MF,Betis,21,1987,2,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
94,Roberto Canella,es ESP,DF,Sporting Gijón,20,1988,24,24,"2,030",22.6,1,0,1,0,0,2,1,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
95,Cani,es ESP,MF,Villarreal,26,1981,22,16,"1,483",16.5,6,2,6,0,0,2,0,0.36,0.12,0.49,0.36,0.49,Matches,2008-2009
96,Fabio Cannavaro,it ITA,DF,Real Madrid,34,1973,29,29,"2,423",26.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
97,Fabián Canobbio,uy URU,MF,Valladolid,28,1980,29,17,"1,618",18.0,4,0,4,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches,2008-2009
98,Joan Capdevila,es ESP,DF,Villarreal,30,1978,36,36,"3,203",35.6,5,0,5,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,2008-2009
99,Diego Capel,es ESP,MF,Sevilla,20,1988,32,15,"1,616",18.0,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,2008-2009
100,Capi,es ESP,MF,Betis,31,1977,26,24,"1,831",20.3,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,Matches,2008-2009
101,Thiago Carleto,br BRA,"DF,MF",Valencia,19,1989,1,0,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
102,Juan Carlos Moreno,es ESP,MF,Numancia,33,1975,20,17,"1,460",16.2,3,0,3,0,0,5,2,0.18,0.00,0.18,0.18,0.18,Matches,2008-2009
104,Juan Carlos Valerón,es ESP,MF,La Coruña,33,1975,22,6,830,9.2,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,2008-2009
105,José Carlos,es ESP,"FW,MF",Sevilla,21,1987,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
106,Javier Casas,es ESP,DF,Athletic Club,26,1982,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
107,Iker Casillas,es ESP,GK,Real Madrid,27,1981,38,38,"3,420",38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
108,Javier Casquero,es ESP,MF,Getafe,32,1976,34,33,"2,830",31.4,5,2,4,1,2,8,0,0.16,0.06,0.22,0.13,0.19,Matches,2008-2009
109,Casto,es ESP,GK,Betis,26,1982,18,18,"1,620",18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
110,Chory Castro,uy URU,"FW,MF",Mallorca,23,1984,19,3,467,5.2,4,2,4,0,0,2,1,0.77,0.39,1.16,0.77,1.16,Matches,2008-2009
111,Diego Castro,es ESP,"FW,MF",Sporting Gijón,26,1982,32,31,"2,603",28.9,7,6,7,0,0,6,0,0.24,0.21,0.45,0.24,0.45,Matches,2008-2009
112,Zé Castro,pt POR,DF,La Coruña,25,1983,29,29,"2,523",28.0,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
113,Santi Cazorla,es ESP,MF,Villarreal,23,1984,30,26,"2,348",26.1,8,4,8,0,0,3,0,0.31,0.15,0.46,0.31,0.46,Matches,2008-2009
114,Fabio Celestini,ch SUI,MF,Getafe,32,1975,22,14,"1,340",14.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
115,Cheli,es ESP,MF,Málaga,29,1979,4,2,178,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
116,Javier Chevantón,uy URU,FW,Sevilla,27,1980,8,2,294,3.3,3,1,3,0,0,2,0,0.92,0.31,1.22,0.92,1.22,Matches,2008-2009
117,Javier Chica,es ESP,DF,Espanyol,23,1985,16,12,"1,210",13.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
118,Chico,es ESP,DF,Almería,21,1987,20,15,"1,358",15.1,1,1,1,0,0,3,1,0.07,0.07,0.13,0.07,0.13,Matches,2008-2009
119,Christian,es ESP,DF,Racing Sant,22,1985,10,8,643,7.1,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,2008-2009
120,Domingo Cisma,es ESP,DF,Numancia,26,1982,34,34,"2,966",33.0,2,0,2,0,0,12,1,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
121,Jürgen Colin,nl NED,DF,Sporting Gijón,27,1981,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
122,Diego Colotto,ar ARG,DF,La Coruña,27,1981,11,9,869,9.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
123,Gonzalo Colsa,es ESP,MF,Racing Sant,29,1979,34,26,"2,330",25.9,2,2,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15,Matches,2008-2009
124,Fabio Coltorti,ch SUI,GK,Racing Sant,27,1980,6,4,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
125,Adrián Colunga,es ESP,"FW,MF",Recreativo,23,1984,33,25,"2,268",25.2,10,2,7,3,3,5,0,0.40,0.08,0.48,0.28,0.36,Matches,2008-2009
