club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SS Lazio,Óscar López,24,Right-Back,Barcelona,loan transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Antonio Filippini,30,Right Midfield,US Palermo,loan transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Emanuele Filippini,30,Central Midfield,US Palermo,loan transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Andrea Ciani,19,Central Midfield,Lazio U19,-,in,Summer,0,Serie A,2004,2004/2005
SS Lazio,Stefano Fiore,29,Attacking Midfield,Valencia,€17.00m,out,Summer,17,Serie A,2004,2004/2005
SS Lazio,Jaap Stam,31,Centre-Back,AC Milan,€10.50m,out,Summer,10.5,Serie A,2004,2004/2005
SS Lazio,Bernardo Corradi,28,Centre-Forward,Valencia,€10.00m,out,Summer,10,Serie A,2004,2004/2005
SS Lazio,Claudio López,30,Centre-Forward,América,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Giuseppe Pancaro,32,Right-Back,AC Milan,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Gaizka Mendieta,30,Right Midfield,Middlesbrough,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Sinisa Mihajlovic,35,Centre-Back,Inter,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Giuseppe Favalli,32,Left-Back,Inter,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Demetrio Albertini,32,Defensive Midfield,Atalanta BC,free transfer,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Francesco Colonnese,32,Centre-Back,Siena,?,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Nikola Lazetic,26,Right Winger,Genoa,?,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Luca Giacomi,20,defence,Rosetana,?,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Alessandro Volpe,21,Central Midfield,Ternana,?,out,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Guerino Gottardi,33,Defensive Midfield,Retired,-,out,Summer,0,Serie A,2004,2004/2005
Parma FC,Massimo Maccarone,24,Centre-Forward,Middlesbrough,Loan fee:€1.00m,in,Summer,1,Serie A,2004,2004/2005
Parma FC,Matteo Contini,24,Centre-Back,Avellino,€580Th.,in,Summer,0.58,Serie A,2004,2004/2005
Parma FC,Alessandro Budel,23,Defensive Midfield,AC Milan,Loan fee:€400Th.,in,Summer,0.4,Serie A,2004,2004/2005
